Date,Time,Open,High,Low,Close,Tick,Volume,Spread
2021.03.01,15:43:00,112250,112300,112220,112270,4404,20493,5
2021.03.01,15:44:00,112270,112330,112255,112300,6577,28718,5
2021.03.01,15:45:00,112300,112325,112245,112260,5741,26015,5
2021.03.01,15:46:00,112260,112300,112235,112250,4538,20340,5
2021.03.01,15:47:00,112255,112255,112180,112210,8599,36463,5
2021.03.01,15:48:00,112215,112335,112180,112315,8872,35921,5
2021.03.01,15:49:00,112320,112375,112305,112340,9204,38544,5
2021.03.01,15:50:00,112335,112380,112315,112355,5797,25308,5
2021.03.01,15:51:00,112355,112410,112325,112360,8351,36967,5
2021.03.01,15:52:00,112365,112435,112330,112405,7185,30299,5
2021.03.01,15:53:00,112405,112430,112315,112325,9026,38914,5
2021.03.01,15:54:00,112325,112380,112270,112360,10867,44476,5
2021.03.01,15:55:00,112360,112395,112320,112370,5546,24421,5
2021.03.01,15:56:00,112365,112410,112290,112310,7142,30023,5
2021.03.01,15:57:00,112305,112305,112245,112270,7625,32134,5
2021.03.01,15:58:00,112270,112375,112250,112310,9051,41103,5
2021.03.01,15:59:00,112310,112345,112270,112345,5571,25757,5
2021.03.01,16:00:00,112340,112380,112315,112380,5982,27756,5
2021.03.01,16:01:00,112375,112420,112325,112330,6978,31393,5
2021.03.01,16:02:00,112325,112485,112300,112465,14129,66748,5
